phenotype	description	group	phenocode	description_more	coding	coding_description	pops	num_pops	pops_pass_qc	num_pops_pass_qc	n_cases_full_cohort_both_sexes	n_cases_full_cohort_females	n_cases_full_cohort_males	n_cases_hq_cohort_both_sexes	n_cases_hq_cohort_females	n_cases_hq_cohort_males	n_cases_AFR	n_cases_AMR	n_cases_CSA	n_cases_EAS	n_cases_EUR	n_cases_MID	n_controls_AFR	n_controls_AMR	n_controls_CSA	n_controls_EAS	n_controls_EUR	n_controls_MID	filename	aws_link	wget	size_in_bytes	description_panUKB	proxy_GWAS	short_label	use_in_analysis
200.1	Polycythemia vera	neoplasms	200.1	NA		NA	EUR	1		0	448	138	310	NA	NA	NA	NA	NA	NA	NA	448	NA	NA	NA	NA	NA	410687	NA	phecode-200.1-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-200.1-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-200.1-both_sexes.tsv.bgz	539388659	Polycythemia vera	FALSE	Polycythemia vera	FALSE
208	Benign neoplasm of colon	neoplasms	208	NA		NA	AFR,AMR,CSA,EAS,EUR,MID	6		0	27131	11902	15227	NA	NA	NA	295	63	421	121	26135	96	6305	912	8427	2575	391047	1497	phecode-208-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-208-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-208-both_sexes.tsv.bgz	2432039077	Benign neoplasm of colon	FALSE	Benign colon neoplasm	TRUE
211	Benign neoplasm of other parts of digestive system	neoplasms	211	NA		NA	AFR,CSA,EUR	3		0	7534	4632	2902	NA	NA	NA	66	NA	147	NA	7321	NA	6462	NA	8608	NA	402519	NA	phecode-211-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-211-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-211-both_sexes.tsv.bgz	1645591957	Benign neoplasm of other parts of digestive system	FALSE	Benign digestive neoplasm	TRUE
218	Benign neoplasm of uterus	neoplasms	218	NA		NA	AFR,AMR,CSA,EAS,EUR	5		0	12748	12748	0	NA	NA	NA	745	50	263	134	11556	NA	3077	574	3728	1616	209602	NA	phecode-218-females.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-218-females.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-218-females.tsv.bgz	2157986511	Benign neoplasm of uterus	FALSE	Benign uterus neoplasm	TRUE
241.2	Nontoxic multinodular goiter	endocrine/metabolic	241.2	NA		NA	EUR	1		0	787	658	129	NA	NA	NA	NA	NA	NA	NA	787	NA	NA	NA	NA	NA	399034	NA	phecode-241.2-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-241.2-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-241.2-both_sexes.tsv.bgz	545612080	Nontoxic multinodular goiter	FALSE	Nontoxic multinodular goiter	FALSE
242	Thyrotoxicosis with or without goiter	endocrine/metabolic	242	NA		NA	AFR,CSA,EUR	3		0	2421	1870	551	NA	NA	NA	76	NA	57	NA	2288	NA	6389	NA	8290	NA	399034	NA	phecode-242-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-242-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-242-both_sexes.tsv.bgz	1605565218	Thyrotoxicosis with or without goiter	FALSE	Thyrotoxicosis	FALSE
244	Hypothyroidism	endocrine/metabolic	244	NA		NA	AFR,CSA,EAS,EUR	4		0	19131	15510	3621	NA	NA	NA	144	NA	512	71	18404	NA	6389	NA	8290	2598	399034	NA	phecode-244-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-244-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-244-both_sexes.tsv.bgz	1928889603	Hypothyroidism	FALSE	Hypothyroidism	TRUE
250.1	Type 1 diabetes	endocrine/metabolic	250.1	NA		NA	AFR,CSA,EUR	3		0	3545	1488	2057	NA	NA	NA	122	NA	173	NA	3250	NA	5793	NA	7181	NA	396181	NA	phecode-250.1-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-250.1-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-250.1-both_sexes.tsv.bgz	1650504571	Type 1 diabetes	FALSE	Type 1 diabetes	FALSE
250.2	Type 2 diabetes	endocrine/metabolic	250.2	NA		NA	AFR,CSA,EAS,EUR,MID	5	CSA,EUR	2	25550	9963	15586	24432	9358	15074	796	NA	1664	152	22768	170	5793	NA	7181	2555	396181	1424	phecode-250.2-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-250.2-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-250.2-both_sexes.tsv.bgz	2559046532	Type 2 diabetes	FALSE	Type 2 diabetes	TRUE
250.7	Diabetic retinopathy	endocrine/metabolic	250.7	NA		NA	AFR,CSA,EUR	3		0	1944	677	1267	NA	NA	NA	81	NA	154	NA	1709	NA	6257	NA	8378	NA	404535	NA	phecode-250.7-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-250.7-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-250.7-both_sexes.tsv.bgz	1611501154	Diabetic retinopathy	FALSE	Diabetic retinopathy	FALSE
251.1	Hypoglycemia	endocrine/metabolic	251.1	NA		NA	AFR,CSA,EUR	3		0	1412	555	857	NA	NA	NA	52	NA	55	NA	1305	NA	5714	NA	7121	NA	393093	NA	phecode-251.1-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-251.1-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-251.1-both_sexes.tsv.bgz	1569177729	Hypoglycemia	FALSE	Hypoglycemia	FALSE
252.1	Hyperparathyroidism	endocrine/metabolic	252.1	NA		NA	EUR	1		0	1038	769	269	NA	NA	NA	NA	NA	NA	NA	1038	NA	NA	NA	NA	NA	415877	NA	phecode-252.1-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-252.1-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-252.1-both_sexes.tsv.bgz	548327154	Hyperparathyroidism	FALSE	Hyperparathyroidism	FALSE
272	Disorders of lipoid metabolism	endocrine/metabolic	272	NA		NA	AFR,AMR,CSA,EAS,EUR,MID	6	CSA,EUR	2	47193	18843	28349	45934	18153	27780	744	86	1800	190	44134	239	5892	894	7076	2519	376397	1360	phecode-272-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-272-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-272-both_sexes.tsv.bgz	2807503687	Disorders of lipoid metabolism	FALSE	Lipoid metabolism disorders	TRUE
274.1	Gout	endocrine/metabolic	274.1	NA		NA	AFR,CSA,EUR	3		0	4678	639	4039	NA	NA	NA	57	NA	112	NA	4509	NA	6576	NA	8761	NA	415559	NA	phecode-274.1-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-274.1-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-274.1-both_sexes.tsv.bgz	1620526081	Gout	FALSE	Gout	FALSE
275.1	Disorders of iron metabolism	hematopoietic	275.1	NA		NA	EUR	1		0	839	282	557	NA	NA	NA	NA	NA	NA	NA	839	NA	NA	NA	NA	NA	417416	NA	phecode-275.1-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-275.1-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-275.1-both_sexes.tsv.bgz	546092958	Disorders of iron metabolism	FALSE	Iron metabolism disorders	FALSE
277.4	Disorders of bilirubin excretion	endocrine/metabolic	277.4	NA		NA	EUR	1		0	471	138	333	NA	NA	NA	NA	NA	NA	NA	471	NA	NA	NA	NA	NA	418882	NA	phecode-277.4-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-277.4-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-277.4-both_sexes.tsv.bgz	540023835	Disorders of bilirubin excretion	FALSE	Bilirubin excretion disorders	FALSE
278	Overweight, obesity and other hyperalimentation	endocrine/metabolic	278	NA		NA	AFR,CSA,EUR,MID	4	CSA,EUR,MID	3	16956	9426	7529	16531	9084	7446	425	NA	365	NA	16087	79	6211	NA	8511	NA	404444	1520	phecode-278-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-278-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-278-both_sexes.tsv.bgz	2275939142	Overweight, obesity and other hyperalimentation	FALSE	Hyperalimentation	TRUE
280	Iron deficiency anemias	hematopoietic	280	NA		NA	AFR,CSA,EUR,MID	4		0	11427	6838	4589	NA	NA	NA	275	NA	500	NA	10590	62	5728	NA	7876	NA	396365	1458	phecode-280-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-280-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-280-both_sexes.tsv.bgz	1987129821	Iron deficiency anemias	FALSE	Iron deficiency anemias	FALSE
285	Other anemias	hematopoietic	285	NA		NA	AFR,CSA,EAS,EUR,MID	5		0	16575	9586	6989	NA	NA	NA	411	NA	613	82	15398	71	5728	NA	7876	2583	396365	1458	phecode-285-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-285-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-285-both_sexes.tsv.bgz	2223392187	Other anemias	FALSE	Other anemias	FALSE
286.12	Congenital deficiency of other clotting factors (including factor VII)	hematopoietic	286.12	NA		NA	EUR	1		0	345	229	116	NA	NA	NA	NA	NA	NA	NA	345	NA	NA	NA	NA	NA	416975	NA	phecode-286.12-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-286.12-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-286.12-both_sexes.tsv.bgz	536027859	Congenital deficiency of other clotting factors (including factor VII)	FALSE	Clotting factors congenital deficiency	FALSE
290.1	Dementias	psychiatric disorders	290.1	NA		NA	EUR	1		0	1974	870	1104	NA	NA	NA	NA	NA	NA	NA	1974	NA	NA	NA	NA	NA	410833	NA	phecode-290.1-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-290.1-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-290.1-both_sexes.tsv.bgz	553003495	Dementias	FALSE	Dementias	FALSE
290.11	Alzheimer's disease	psychiatric disorders	290.11	NA		NA	EUR	1		0	839	407	432	NA	NA	NA	NA	NA	NA	NA	839	NA	NA	NA	NA	NA	410833	NA	phecode-290.11-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-290.11-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-290.11-both_sexes.tsv.bgz	546300977	Alzheimer's disease	FALSE	Alzheimer's disease	FALSE
296.2	Depression	psychiatric disorders	296.2	NA		NA	EUR	1		0	527	334	193	NA	NA	NA	NA	NA	NA	NA	527	NA	NA	NA	NA	NA	369930	NA	phecode-296.2-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-296.2-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-296.2-both_sexes.tsv.bgz	541407595	Depression	FALSE	Depression	TRUE
318	Tobacco use disorder	psychiatric disorders	318	NA		NA	AFR,CSA,EAS,EUR,MID	5	AFR,CSA,EUR,MID	4	15648	6992	8656	15598	6969	8629	254	NA	275	50	14988	81	6272	NA	8471	2641	392046	1493	phecode-318-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-318-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-318-both_sexes.tsv.bgz	2411782634	Tobacco use disorder	FALSE	Tobacco use disorder	TRUE
332	Parkinson's disease	neurological	332	NA		NA	EUR	1		0	1660	641	1019	NA	NA	NA	NA	NA	NA	NA	1660	NA	NA	NA	NA	NA	403249	NA	phecode-332-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-332-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-332-both_sexes.tsv.bgz	551889981	Parkinson's disease	FALSE	Parkinson's disease	FALSE
335	Multiple sclerosis	neurological	335	NA		NA	EUR	1		0	1538	1117	421	NA	NA	NA	NA	NA	NA	NA	1538	NA	NA	NA	NA	NA	403249	NA	phecode-335-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-335-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-335-both_sexes.tsv.bgz	551558045	Multiple sclerosis	FALSE	Multiple sclerosis	FALSE
351	Other peripheral nerve disorders	neurological	351	NA		NA	AFR,CSA,EAS,EUR,MID	5		0	15275	10317	4956	NA	NA	NA	228	NA	280	63	14648	56	6298	NA	8433	2624	399339	1516	phecode-351-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-351-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-351-both_sexes.tsv.bgz	2191940295	Other peripheral nerve disorders	FALSE	Other peripheral nerve disorders	TRUE
361	Retinal detachments and defects	sense organs	361	NA		NA	CSA,EUR	2		0	3854	1615	2239	NA	NA	NA	NA	NA	65	NA	3789	NA	NA	NA	8378	NA	404535	NA	phecode-361-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-361-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-361-both_sexes.tsv.bgz	1134707135	Retinal detachments and defects	FALSE	Retinal defects	FALSE
362.29	Macular degeneration (senile) of retina NOS	sense organs	362.29	NA		NA	AFR,CSA,EUR	3		0	3442	2082	1360	NA	NA	NA	53	NA	91	NA	3298	NA	6257	NA	8378	NA	404535	NA	phecode-362.29-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-362.29-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-362.29-both_sexes.tsv.bgz	1606449299	Macular degeneration (senile) of retina NOS	FALSE	Macular degeneration	FALSE
364.5	Corneal dystrophy	sense organs	364.5	NA		NA	EUR	1		0	302	189	113	NA	NA	NA	NA	NA	NA	NA	302	NA	NA	NA	NA	NA	404535	NA	phecode-364.5-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-364.5-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-364.5-both_sexes.tsv.bgz	534430817	Corneal dystrophy	FALSE	Corneal dystrophy	FALSE
365	Glaucoma	sense organs	365	NA		NA	AFR,CSA,EUR	3		0	6591	3312	3278	NA	NA	NA	206	NA	186	NA	6199	NA	6257	NA	8378	NA	404535	NA	phecode-365-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-365-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-365-both_sexes.tsv.bgz	1689286611	Glaucoma	FALSE	Glaucoma	TRUE
366	Cataract	sense organs	366	NA		NA	AFR,CSA,EAS,EUR,MID	5		0	29960	16808	13150	NA	NA	NA	621	NA	1203	206	27820	110	6015	NA	7673	2503	392711	1489	phecode-366-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-366-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-366-both_sexes.tsv.bgz	2255162466	Cataract	FALSE	Cataract	TRUE
371	Inflammation of the eye	sense organs	371	NA		NA	AFR,CSA,EUR	3		0	3688	1863	1825	NA	NA	NA	86	NA	113	NA	3489	NA	6388	NA	8572	NA	409073	NA	phecode-371-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-371-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-371-both_sexes.tsv.bgz	1633966194	Inflammation of the eye	FALSE	Eye inflammation	FALSE
371.1	Uveitis, noninfectious or NOS	sense organs	371.1	NA		NA	EUR	1		0	592	323	269	NA	NA	NA	NA	NA	NA	NA	592	NA	NA	NA	NA	NA	409073	NA	phecode-371.1-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-371.1-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-371.1-both_sexes.tsv.bgz	542826806	Uveitis, noninfectious or NOS	FALSE	Uveitis	FALSE
379.3	Aphakia and other disorders of lens	sense organs	379.3	NA		NA	CSA,EUR	2		0	2814	1553	1261	NA	NA	NA	NA	NA	71	NA	2743	NA	NA	NA	8596	NA	410363	NA	phecode-379.3-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-379.3-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-379.3-both_sexes.tsv.bgz	1124282841	Aphakia and other disorders of lens	FALSE	Lens disorders	FALSE
383	Otosclerosis	sense organs	383	NA		NA	EUR	1		0	350	217	133	NA	NA	NA	NA	NA	NA	NA	350	NA	NA	NA	NA	NA	416007	NA	phecode-383-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-383-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-383-both_sexes.tsv.bgz	535876943	Otosclerosis	FALSE	Otosclerosis	FALSE
401	Hypertension	circulatory system	401	NA		NA	AFR,AMR,CSA,EAS,EUR,MID	6	CSA,EUR	2	99977	46407	53568	97001	44630	52370	2037	160	2690	431	94311	348	4589	816	6170	2272	325488	1245	phecode-401-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-401-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-401-both_sexes.tsv.bgz	2843231590	Hypertension	FALSE	Hypertension	TRUE
411.4	Coronary atherosclerosis	circulatory system	411.4	NA		NA	AFR,CSA,EAS,EUR,MID	5	CSA,EUR	2	25280	6250	19029	24916	6106	18810	191	NA	1028	59	23888	114	6224	NA	7496	2605	382052	1430	phecode-411.4-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-411.4-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-411.4-both_sexes.tsv.bgz	2504482480	Coronary atherosclerosis	FALSE	Coronary atherosclerosis	TRUE
415	Pulmonary heart disease	circulatory system	415	NA		NA	AFR,CSA,EUR	3		0	5555	2528	3027	NA	NA	NA	82	NA	52	NA	5421	NA	6459	NA	8749	NA	411769	NA	phecode-415-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-415-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-415-both_sexes.tsv.bgz	1634429862	Pulmonary heart disease	FALSE	Pulmonary heart disease	TRUE
427.2	Atrial fibrillation and flutter	circulatory system	427.2	NA		NA	AFR,CSA,EUR	3		0	19570	6532	13038	NA	NA	NA	129	NA	208	NA	19233	NA	6241	NA	8234	NA	384657	NA	phecode-427.2-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-427.2-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-427.2-both_sexes.tsv.bgz	1701249463	Atrial fibrillation and flutter	FALSE	Atrial fibrillation/flutter	TRUE
