prive_code	description	group	phenocode	description_more	coding	coding_description	pops	num_pops	pops_pass_qc	num_pops_pass_qc	n_cases_full_cohort_both_sexes	n_cases_full_cohort_females	n_cases_full_cohort_males	n_cases_hq_cohort_both_sexes	n_cases_hq_cohort_females	n_cases_hq_cohort_males	n_cases_AFR	n_cases_AMR	n_cases_CSA	n_cases_EAS	n_cases_EUR	n_cases_MID	n_controls_AFR	n_controls_AMR	n_controls_CSA	n_controls_EAS	n_controls_EUR	n_controls_MID	filename	aws_link	wget	size_in_bytes	description_panUKB	proxy_GWAS	short_label	use_in_analysis	N	N_case	N_control	ldsc_int	ldsc_int_se	ldsc_h2	ldsc_h2_se	ldpred2_n_keep	ldpred2_h2	ldpred2_p	PGS_trait_type	GWAS_trait_type	prevalence	N_total	group_consolidated	Nsize_Caribbean	Nsize_China	Nsize_India	Nsize_Iran	Nsize_Italy	Nsize_Nigeria	Nsize_Poland	Nsize_United	pcor_Caribbean	pcor_China	pcor_India	pcor_Iran	pcor_Italy	pcor_Nigeria	pcor_Poland	pcor_United	inf_Caribbean	inf_China	inf_India	inf_Iran	inf_Italy	inf_Nigeria	inf_Poland	inf_United	sup_Caribbean	sup_China	sup_India	sup_Iran	sup_Italy	sup_Nigeria	sup_Poland	sup_United	PGS_R2_Caribbean	PGS_R2_China	PGS_R2_India	PGS_R2_Iran	PGS_R2_Italy	PGS_R2_Nigeria	PGS_R2_Poland	PGS_R2_United	cMperMb	n_sig_SNPs	gini_panUKB	beta_pop	gini_meta	gini_AFR	gini_CSA	gini_EUR	gini_AMR	gini_EAS	gini_meta_hq	portability_index	portability_index_SE	portability_index_P	log_F	traitLD_unadj_EUR	traitLD_adj_EUR	traitLD_unadj_AFR	traitLD_adj_AFR	traitLD_unadj_AMR	traitLD_adj_AMR	traitLD_unadj_CSA	traitLD_adj_CSA	traitLD_unadj_EAS	traitLD_adj_EAS	traitLD_unadj_mean	traitLD_unadj_sd	traitLD_unadj_max	traitLD_unadj_min	traitLD_unadj_range	traitLD_unadj_ratio	traitLD_unadj_CoV
575	Other biliary tract disease	digestive	575				CSA,EUR	2	""	0	5189	3206	1983						92		5097				8541		399542		phecode-575-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-575-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-575-both_sexes.tsv.bgz	1150619195	Other biliary tract disease	FALSE	Biliary tract disease	TRUE		4621	371683	1.01	0.00737	0.0411	0.0176	8	0.0296	0.000249	binary	binary	0.012279965134572	376304	diseases	2432	1775	6142	1170	6436	3852	3998	19288	0.0111	0.03	0.0217	0.0133	0	0	0.0485	0.0221	-0.0288	-0.0168	-0.0033	-0.0445	-0.0274	-0.0321	0.0174	0.008	0.051	0.0767	0.0468	0.0711	0.0215	0.0312	0.0795	0.0362	0.00012321	9e-04	0.00047089	0.00017689	0	0	0.00235225	0.00048841		130	0.929570821588557	meta2use_WC	0.929570821588557	0.963913093095483	0.956490037770332	0.93659295671998	0.959966718742838	0.986691149337362		-0.000710498255584708	0.00230722074978458	0.767084802093518	1.57074893098456	63.4903780760525	-0.0905912588423938	74.4918618908806	0.00354747907866169	70.8547900043195	0.114268350419046	66.2473547767885	0.115600511555998	79.0638618709008	0.243229834581744	70.8296493237884	6.24653934140169	79.0638618709008	63.4903780760525	15.5734837948483	1.24528888103633	0.0881910245361581
593	Hematuria	genitourinary	593				AFR,CSA,EAS,EUR,MID	5	""	0	19082	8029	11053				312		350	97	18229	94	6082		8166	2547	386584	1447	phecode-593-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-593-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-593-both_sexes.tsv.bgz	2212267388	Hematuria	FALSE	Hematuria	TRUE		16847	359707	0.993	0.013	0.0771	0.0224	22	0.0487	0.00183	binary	binary	0.0447399310590247	376554	diseases	2389	1766	6067	1159	6420	3775	4016	19287	0.027	0.0088	0.0329	0	0.0214	0.0212	0.0138	0.03	-0.0133	-0.0382	0.0077	-0.0805	-0.0031	-0.0107	-0.0172	0.0159	0.0672	0.0557	0.0581	0.0356	0.0459	0.0532	0.0448	0.0441	0.000729	7.744e-05	0.00108241	0	0.00045796	0.00044944	0.00019044	9e-04		419	0.859312395348391	meta2use_WC	0.859312395348391	0.885752366522946	0.788182382148207	0.727732232353468	0.808593241698157	0.795033062603947		-0.00154526296112352	0.00074426677393017	0.0765107235569984	1.96909536646793	930.214601734777	1.72478252595684	113.153137640869	0.124234088336578	496.988988274266	1.38714953509356	476.98311210874	1.158165181125	457.560228602882	1.11761372264485	494.980013672307	290.2365736194	930.214601734777	113.153137640869	817.061464093909	8.2208467315077	0.586360187487381
594	Urinary calculus	genitourinary	594				AFR,CSA,EUR,MID	4	""	0	7943	2408	5535				90		206		7593	54	6522		8639		411207	1538	phecode-594-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-594-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-594-both_sexes.tsv.bgz	1925151268	Urinary calculus	FALSE	Urinary calculus	TRUE		7124	382381	0.993	0.00685	0.147	0.0131	19	0.131	0.00404	binary	binary	0.0182898807460751	389505	diseases	2475	1803	6306	1192	6632	3912	4121	19913	0.005	0.0058	0.033	0.0222	0.0503	0.0052	0.0291	0.0323	-0.0345	-0.0406	0.0082	-0.0352	0.0263	-0.0262	-0.0015	0.0184	0.0446	0.0522	0.0576	0.0793	0.0743	0.0366	0.0597	0.0462	2.5e-05	3.364e-05	0.001089	0.00049284	0.00253009	2.704e-05	0.00084681	0.00104329		199	0.905704212165145	meta2use_WC	0.896904979756401	0.950961983859999	0.944814509536256	0.908910875425341	0.915915925143458	0.960087225560402	0.905704212165145	-0.00226763160035257	0.000893880097322081	0.0388428166590932	1.82470902489965	111.726908411913	-0.33054559862418	97.3525516176011	0.246925426986029	103.839959414891	-0.370864204136985	57.4910751258302	-0.717995230213895	102.384048184428	-0.383583492421153	94.5589085509326	21.3538032389126	111.726908411913	57.4910751258302	54.2358332860824	1.94337830989205	0.225825398856108
600	Hyperplasia of prostate	genitourinary	600				AFR,EUR,MID	3	""	0	14372	0	14372				183				14126	63	2369				169762	823	phecode-600-males.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-600-males.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-600-males.tsv.bgz	1647632556	Hyperplasia of prostate	FALSE	Prostate hyperplasia	TRUE		13186	157758	0.998	0.00957	0.141	0.0172	22	0.111	0.00172	binary	binary	0.077136372145264	170944	diseases	827	586	3344	696	2859	1703	1493	8710	0.1134	0.0651	0.0339	0.0715	0.0911	0.0524	0.1233	0.0846	0.0448	-0.0173	-1e-04	-0.0039	0.0545	0.0046	0.0727	0.0636	0.1809	0.1467	0.0679	0.146	0.1275	0.0999	0.1733	0.1054	0.01285956	0.00423801	0.00114921	0.00511225	0.00829921	0.00274576	0.01520289	0.00715716		329	0.831664379854948	meta2use_WC	0.831664379854948	0.863205931981443	0.854429496548006	0.785493016486446	0.798535513995346	0.861861625391819		-0.000393035571058618	0.000970149523972155	0.697478019330133	1.17609028927226	411.113648916942	0.398648955617456	105.702915525411	0.00134432233989982	236.36823375683	0.120686856983359	182.497683358288	0.123345590952454	234.948759013614	-0.0320482681233301	234.126248114217	112.348013020567	411.113648916942	105.702915525411	305.410733391531	3.88933121544891	0.47986081836394
615	Endometriosis	genitourinary	615				AFR,CSA,EUR	3	""	0	4547	4547	0				99		94		4354		3650		3892		217500		phecode-615-females.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-615-females.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-615-females.tsv.bgz	1639508439	Endometriosis	FALSE	Endometriosis	TRUE		3984	201158	1	0.00645	0.0969	0.0218	3	0.104	0.0152	binary	binary	0.0194206939583313	205142	diseases	1515	1175	2826	468	3593	2021	2514	10566	0.0248	0.0619	0.0358	0.0366	0.0028	0.024	0.0355	0.0219	-0.0259	0.0042	-0.0012	-0.0562	-0.03	-0.0199	-0.0037	0.0028	0.0754	0.1191	0.0727	0.1287	0.0356	0.0677	0.0747	0.041	0.00061504	0.00383161	0.00128164	0.00133956	7.84e-06	0.000576	0.00126025	0.00047961		209	0.952905362249692	meta2use_WC	0.952905362249692	0.956185334111224	0.99343421504602	0.948456451011939	0.994226905873647	0.997877089181234		0	0.00339030598287879	0.101337994728	2.9120517929625	50.2694533060395	-0.613233478140984	45.9790018389526	-0.467289193057017	56.9648951453531	-0.0657894719532256	15.299112353776	-0.523148323351303	68.8588593397816	-0.608586634579335	47.4742643967806	19.9540865051981	68.8588593397816	15.299112353776	53.5597469860055	4.50084016297758	0.420313758596148
618	Genital prolapse	genitourinary	618				AFR,CSA,EUR	3	""	0	13800	13799	0				108		184		13508		3797		3895		213696		phecode-618-females.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-618-females.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-618-females.tsv.bgz	1682591112	Genital prolapse	FALSE	Genital prolapse	TRUE		12289	198052	1.02	0.0072	0.129	0.0121	19	0.147	0.00632	binary	binary	0.0584241778825811	210341	diseases	1584	1207	2902	483	3676	2113	2578	10810	0.0381	0.0167	0.0503	0	0.0389	0.037	0.0481	0.0425	-0.0115	-0.0403	0.0138	-0.0952	0.0065	-0.0059	0.0094	0.0237	0.0875	0.0735	0.0866	0.0869	0.0712	0.0797	0.0867	0.0613	0.00145161	0.00027889	0.00253009	0	0.00151321	0.001369	0.00231361	0.00180625		248	0.942586327305804	meta2use_WC	0.942586327305804	0.938080016315222	0.923866768790699	0.894451352717626	0.927811533289699	0.953140087261442		-0.00105673116103318	0.000674637535481162	0.161244897564856	1.79993336209498	132.495119655943	-0.043204749685117	101.939321096259	0.633555498265635	155.563312140616	0.101756776171483	123.370628308842	-0.0171336972034658	157.191657026364	-0.0981833188668694	134.112007645605	23.1619407471948	157.191657026364	101.939321096259	55.2523359301049	1.54201200612207	0.172705942993569
681	Superficial cellulitis and abscess	dermatologic	681				AFR,CSA,EUR	3	""	0	9268	3894	5373				86		147		9035		6434		8569		406937		phecode-681-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-681-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-681-both_sexes.tsv.bgz	1663000837	Superficial cellulitis and abscess	FALSE	Superficial cellulitis/abscess	TRUE		8614	378254	0.994	0.00678	0.064	0.0105	11	0.0546	0.00373	binary	binary	0.0222659925349215	386868	diseases	2440	1803	6213	1189	6586	3853	4093	19807	0	0	0.0057	0.0014	0	0	0	0.0142	-0.0476	-0.0671	-0.0192	-0.0559	-0.0282	-0.0349	-0.0554	3e-04	0.0321	0.0257	0.0306	0.0587	0.0201	0.0284	0.006	0.0282	0	0	3.249e-05	1.96e-06	0	0	0	0.00020164		197	0.960708833665721	meta2use_WC	0.960708833665721	0.959158298105923	0.988713217125681	0.936946182865127	0.967434005949583	0.996882696733502		-0.00308331571150853	0.000786816016530358	0.00575846598397668	2.39164551735878	151.087049187616	0.209870141154912	49.7149685157182	-0.0375741412667263	210.990832000718	0.686254689113768	43.0482521872392	0.258705778446389	210.214024051017	0.787509031895069	133.011025188462	82.7638651990785	210.990832000718	43.0482521872392	167.942579813479	4.90126361188858	0.622233120012506
704	Diseases of hair and hair follicles	dermatologic	704				AFR,CSA,EUR	3	""	0	6108	3108	3000				101		126		5881		6525		8720		413199		phecode-704-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-704-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-704-both_sexes.tsv.bgz	1655277859	Diseases of hair and hair follicles	FALSE	Hair diseases	TRUE		5432	384352	1	0.00727	0.0662	0.0253	23	0.0369	6.09e-05	binary	binary	0.013935923485828	389784	diseases	2478	1809	6308	1195	6645	3918	4120	19926	0	0	0.0395	0.0567	0.0472	0	0.0826	0.056	-0.0684	-0.064	0.0147	-5e-04	0.0232	-0.0361	0.0521	0.0422	0.0106	0.0287	0.0641	0.1135	0.0712	0.0267	0.113	0.0699	0	0	0.00156025	0.00321489	0.00222784	0	0.00682276	0.003136		248	0.905260290856319	meta2use_WC	0.905260290856319	0.93059120111274	0.938811349406304	0.926076383919477	0.918355881461255	0.960480016534598		-0.00243652047690349	0.000740125396013617	0.0132652728347319	2.71248488626946	38.8843411746441	-0.0950975918484836	54.7067819342379	-0.0753754561982129	50.1307905023013	-1.01230869303458	38.5358035801684	-0.161241598971764	98.0795835849613	-0.27837813750938	56.0674601552626	24.519036313806	98.0795835849613	38.5358035801684	59.5437800047929	2.54515475150065	0.437313126828067
706.2	Sebaceous cyst	dermatologic	706.2				AFR,CSA,EUR	3	""	0	10034	5203	4831				121		168		9745		6488		8682		409775		phecode-706.2-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-706.2-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-706.2-both_sexes.tsv.bgz	1679421782	Sebaceous cyst	FALSE	Sebaceous cyst	TRUE		9107	381081	1	0.00921	0.0709	0.0204	23	0.0279	8.87e-05	binary	binary	0.0233400309594349	390188	diseases	2471	1807	6311	1194	6646	3913	4124	19952	0	0	0.049	0.0522	0.0466	0	0.0709	0.0461	-0.0659	-0.0627	0.0243	-0.005	0.0225	-0.0414	0.0404	0.0323	0.0133	0.0301	0.0736	0.1091	0.0706	0.0214	0.1013	0.06	0	0	0.002401	0.00272484	0.00217156	0	0.00502681	0.00212521		349	0.926313149364421	meta2use_WC	0.926313149364421	0.963510427276718	0.93721463214606	0.908646308355351	0.896861029646014	0.950712088299678		-0.00212711855530961	0.000906130356216088	0.0512776599836166	2.55872292197792	67.9094479362514	-0.0557361751181412	30.3983530813669	-0.374723850716456	96.4957564620752	-0.866850925895036	51.3268559734178	-0.142478895552842	131.698567314667	-0.347504147213902	75.5657961535557	39.6080643288152	131.698567314667	30.3983530813669	101.3002142333	4.33242442319659	0.524153338480394
716	Other arthropathies	musculoskeletal	716				AFR,AMR,CSA,EAS,EUR,MID	6	EUR,MID	2	43832	24810	19019	42153	23716	18434	607	74	881	117	42030	123	5922	892	7845	2571	372332	1456	phecode-716-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-716-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-716-both_sexes.tsv.bgz	2802452137	Other arthropathies	FALSE	Other arthropathies	TRUE		30115	357840	1.01	0.00855	0.12	0.00645	21	0.122	0.0312	binary	binary	0.0776249822788726	387955	diseases	2465	1805	6278	1195	6617	3893	4104	19847	0	0	0.0386	0.0341	0.045	0.0315	0.0184	0.0461	-0.07	-0.0547	0.0138	-0.0232	0.0209	0	-0.0122	0.0322	0.0092	0.038	0.0633	0.0911	0.0691	0.0629	0.0491	0.0599	0	0	0.00148996	0.00116281	0.002025	0.00099225	0.00033856	0.00212521		313	0.845948750972802	meta2use_WC	0.833731906799492	0.936771133837632	0.897875310604758	0.841664659851167	0.854649144461164	0.897282828124192	0.845948750972802	-0.002257956405996	0.000494085030745933	0.00257420923858442	1.75048869131276	191.82852370268	0.12906027659088	71.9262781198636	-0.103815652365767	186.100107209735	0.194274377916025	138.275468474492	0.222458641226117	155.321825078831	-0.0813018779143491	148.69044051712	48.2326676521815	191.82852370268	71.9262781198636	119.902245582816	2.66701584896415	0.324383110874085
735.3	Hallux valgus (Bunion)	musculoskeletal	735.3				AFR,CSA,EUR	3	AFR,EUR	2	7857	7098	758	7769	7026	742	113		88		7656		6384		8636		403527		phecode-735.3-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-735.3-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-735.3-both_sexes.tsv.bgz	1887441947	Hallux valgus (Bunion)	FALSE	Bunion	TRUE		7024	379064	0.997	0.00767	0.154	0.0139	20	0.148	0.0134	binary	binary	0.0181927436232154	386088	diseases	2457	1803	6269	1186	6598	3900	4086	19732	0.0105	0.0133	0.031	0.0299	0.0217	8e-04	0.0205	0.0379	-0.0292	-0.0331	0.0062	-0.0276	-0.0025	-0.0307	-0.0103	0.024	0.0502	0.0597	0.0558	0.0872	0.0458	0.0323	0.0512	0.0519	0.00011025	0.00017689	0.000961	0.00089401	0.00047089	6.4e-07	0.00042025	0.00143641		226	0.906609078520371	meta2use_WC	0.906609078520371	0.978038250812259	0.971318244596887	0.89977633939551	0.981927145153354	0.951675634499685		-0.00257288083319806	0.000430898785580526	0.000558217569867789	1.64399225340593	365.13382542877	0.242901682664164	60.4624558536272	0.20397858110483	326.01165451952	0.339269379500732	119.211376461739	0.0686123295438343	424.399480069732	0.569458288963386	259.043758466678	159.741936323327	424.399480069732	60.4624558536272	363.937024216105	7.01922331929677	0.616660047201544
740	Osteoarthrosis	musculoskeletal	740				AFR,AMR,CSA,EAS,EUR,MID	6	CSA,EUR,MID	3	37256	21957	15298	36706	21555	15150	423	53	547	74	36073	86	6213	927	8329	2635	384458	1513	phecode-740-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-740-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-740-both_sexes.tsv.bgz	2757905300	Osteoarthrosis	FALSE	Osteoarthrosis	TRUE		25563	365561	1.01	0.00885	0.0999	0.00856	21	0.101	0.0121	binary	binary	0.0653577893455784	391124	diseases	2484	1810	6331	1200	6660	3924	4136	20000	0.0312	0.0051	0.0211	0.0326	0.0357	0.0103	0.0415	0.0409	-0.0083	-0.0412	-0.0036	-0.0246	0.0117	-0.0211	0.0109	0.027	0.0706	0.0514	0.0457	0.0895	0.0597	0.0417	0.0719	0.0547	0.00097344	2.601e-05	0.00044521	0.00106276	0.00127449	0.00010609	0.00172225	0.00167281		296	0.86237515228348	meta2use_WC	0.849200847305886	0.898295949817008	0.893987072919876	0.862794396735513	0.845074260157199	0.896979159941191	0.86237515228348	-0.00218998415743012	0.00035826829539917	0.000484981627382108	2.96581053264067	658.942925616164	0.897667616275181	98.7724975301841	0.127143579725432	603.056182540071	0.969444001988708	340.857982129537	0.801340153936036	240.644795377816	0.417030928801604	388.454876638754	238.351982574849	658.942925616164	98.7724975301841	560.17042808598	6.67131987236423	0.613589883688101
743.1	Osteoporosis	musculoskeletal	743.1				AFR,CSA,EUR	3	AFR,EUR	2	8128	6797	1331	7991	6682	1309	54		137		7937		6566		8708		411038		phecode-743.1-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-743.1-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-743.1-both_sexes.tsv.bgz	1864550728	Osteoporosis	FALSE	Osteoporosis	TRUE		4591	386242	0.998	0.00788	0.104	0.0206	15	0.0954	0.00272	binary	binary	0.0117467051144607	390833	diseases	2483	1808	6327	1199	6657	3923	4130	19982	0	0.0046	0	0.0115	0.0348	0.0028	0	0.0308	-0.0419	-0.0418	-0.0274	-0.0456	0.0108	-0.0286	-0.0308	0.017	0.0371	0.0509	0.0219	0.0686	0.0588	0.0342	0.0303	0.0447	0	2.116e-05	0	0.00013225	0.00121104	7.84e-06	0	0.00094864		253	0.950490840894997	meta2use_WC	0.950490840894997	0.941865425844232	0.971803329323144	0.894797011456902	0.966824219438998	0.962106445445029		-0.00292978470373999	0.000690307354144753	0.00382053715144277	1.8870016125647	118.142297665711	-0.214524212417388	62.5109893673858	0.0710782113717821	127.452686908447	-0.0335022751661133	53.2108438216971	-0.430514903386248	93.6558185362443	-0.180237085716288	90.994527259897	32.83367166209	127.452686908447	53.2108438216971	74.2418430867498	2.39523897300943	0.360831279097819
785	Abdominal pain	symptoms	785				AFR,AMR,CSA,EAS,EUR,MID	6	CSA,EUR	2	50195	32241	17950	48532	31044	17486	998	141	1237	289	47295	235	5638	839	7639	2420	373236	1364	phecode-785-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-785-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-785-both_sexes.tsv.bgz	2816833065	Abdominal pain	FALSE	Abdominal pain	TRUE		43797	347327	1.01	0.00739	0.0586	0.00477	20	0.0593	0.0281	binary	binary	0.111977275748867	391124	diseases	2484	1810	6331	1200	6660	3924	4136	20000	0.0188	0.0135	0.0214	0	0.0156	0.0049	0.0569	0.0265	-0.0207	-0.0329	-0.0033	-0.0605	-0.0085	-0.0265	0.0264	0.0126	0.0583	0.0598	0.046	0.0536	0.0396	0.0362	0.0873	0.0403	0.00035344	0.00018225	0.00045796	0	0.00024336	2.401e-05	0.00323761	0.00070225		171	0.934491069817261	meta2use_WC	0.926082924404532	0.963411591682113	0.967866908947368	0.929723743964594	0.945694403453797	0.966844902888872	0.934491069817261	-0.00177953245742003	0.00209096438105706	0.422891437125792	2.47701041465269	88.5549730644304	-0.183973408379007	105.889508434242	0.21246137968545	116.850515821689	0.142356109424485	47.404397190606	0.0478090343031779	139.821343974683	-0.214867194567254	99.70414769713	34.6453967451589	139.821343974683	47.404397190606	92.4169467840768	2.9495437609402	0.347482000953469
960.2	Allergy/adverse effect of penicillin	injuries & poisonings	960.2				AFR,CSA,EAS,EUR,MID	5	CSA,EUR	2	20918	13612	7306	20455	13243	7212	298		434	93	20021	72	6089		8150	2535	383239	1478	phecode-960.2-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-960.2-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-960.2-both_sexes.tsv.bgz	2495310443	Allergy/adverse effect of penicillin	FALSE	Penicillin allergy	TRUE		18525	359932	0.998	0.00693	0.064	0.00707	18	0.0597	0.00647	binary	binary	0.0489487577188426	378457	physical measures	2406	1773	6180	1172	6493	3818	4025	19352	0.0141	0	0	0	0.0196	3e-04	0.0128	0.0296	-0.0261	-0.0739	-0.036	-0.0933	-0.0047	-0.0315	-0.0182	0.0155	0.0542	0.0196	0.0139	0.022	0.044	0.0321	0.0437	0.0436	0.00019881	0	0	0	0.00038416	9e-08	0.00016384	0.00087616		184	0.938210980198876	meta2use_WC	0.92400218738064	0.93428645494452	0.953920883900317	0.943108209751338	0.918717572289887	0.973504452203802	0.938210980198876	-0.00288531115683407	0.000677791749825951	0.00376081736694172	2.07181954783706	216.370888791837	1.13083924937579	97.5650903753967	0.236542152314806	237.276682361181	0.849123494707452	132.095460297879	0.412106650371713	211.991715667108	0.616864882337468	179.05996749868	60.6483114120002	237.276682361181	97.5650903753967	139.711591985784	2.43198342202341	0.338703911651538
albumin	Albumin	biological measures	30600				AFR,AMR,CSA,EAS,EUR,MID	6	CSA,EUR	2	385205	206653	178552	374886	200630	174256	5759	856	7694	2340	367192	1364							biomarkers-30600-both_sexes-irnt.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30600-both_sexes-irnt.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30600-both_sexes-irnt.tsv.bgz	2371951142	Albumin	FALSE	Albumin	TRUE	341455			1.08	0.0161	0.131	0.00737	28	0.144	0.00854	quantitative	quantitative		341455	biological measures	2159	1560	5478	1036	5803	3401	3593	17457	0.1475	0.226	0.2714	0.2704	0.2722	0.1407	0.2758	0.2949	0.1058	0.178	0.2467	0.2124	0.2482	0.1075	0.2452	0.2813	0.1887	0.2729	0.2958	0.3264	0.2959	0.1736	0.3058	0.3084	0.02175625	0.051076	0.07365796	0.07311616	0.07409284	0.01979649	0.07606564	0.08696601		3893	0.413330501899921	meta2use_WC	0.413372436174291	0.530934156674148	0.371912646207086	0.359126173355731	0.418757617094952	0.47655546656019	0.413330501899921	-0.00167531658799531	0.000133209713473441	4.63779363612614e-06	2.78789510743978	202.38131358602	0.0205670568987344	136.288673523273	0.142246890820025	186.888340073921	-0.121433133257765	165.299470565409	-0.153945159260822	166.04562280552	-0.32485944150594	171.380684110829	24.9920970794831	202.38131358602	136.288673523273	66.0926400627469	1.48494594858215	0.145827968940311
ankle_spacing	Ankle spacing width	physical measures	3143	Ankle width as indicated by the spacing between measurement transducer pads on heel			AFR,AMR,CSA,EAS,EUR,MID	6	CSA,EUR	2	250303	135559	114739	245561	132826	112730	2295	471	2635	1262	242926	714							continuous-3143-both_sexes-irnt.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-3143-both_sexes-irnt.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-3143-both_sexes-irnt.tsv.bgz	2306369824	Ankle spacing width	FALSE	Ankle spacing	TRUE	224410			1.11	0.0164	0.297	0.0125	28	0.319	0.0169	quantitative	quantitative		224410	physical measures	801	819	1985	507	3469	1421	2149	11502	0.2218	0.3258	0.3675	0.3841	0.3944	0.1388	0.402	0.4249	0.1541	0.2623	0.3286	0.3057	0.3659	0.0871	0.3658	0.4098	0.2875	0.3864	0.4051	0.4574	0.4222	0.1898	0.437	0.4398	0.04919524	0.10614564	0.13505625	0.14753281	0.15555136	0.01926544	0.161604	0.18054001		6481	0.246492512047153	meta2use_WC	0.246029792373464	0.438559621829753	0.367992895216333	0.242002069354799	0.425312062294914	0.377321924614568	0.246492512047153	-0.0017961162735433	0.000139769134467489	4.01048404015512e-06	2.31234699447235	295.513207354303	0.294656361232256	145.449599910299	0.0920320253796488	200.901016017996	0.155572102482289	180.390288196426	0.0436540985800887	181.443013482747	0.0158997366688636	200.739424992354	56.6248610548877	295.513207354303	145.449599910299	150.063607444004	2.03172238037472	0.282081415033666
